lm_id	inchi_key	smiles	obsolete_id	SP	SphingoMap ID	CHEBI
LMSP0505BF00				True	125	
LMSP0601BR00				True	299	
LMSP0601DH00				True	318	
LMSP0601DG00				True	317	
LMSP0601CI00				True	332	
LMSP0505CL00				True	284	
LMSP0602AP00				True	400	
LMSP0503AK00				True	311	
LMSP0504BP00				True	194	
LMSP0505CW00				True	407	
LMSP0508AA00				True	14	
LMSP0506AZ00				True	380	
LMSP0504AI00				True	38	
LMSP0501AD00				True	6	
LMSP0601AW00				True	79	CHEBI:27691
LMSP0506AJ00				True	422	
LMSP0505AZ00				True	119	
LMSP0601AH00				True	137	
LMSP0503AE00				True	295	
LMSP0505CC00				True	257	
LMSP0601BW00				True	304	
LMSP0503AG00				True	297	
LMSP0503AO00				True	330	
LMSP0505EN00				True	467	
LMSP0601GM00				True	128	
LMSP0601EU00				True	218	
LMSP0601DJ00				True	328	
LMSP0504BQ00				True	195	
LMSP0506BD00				True	384	
LMSP0502BC00				True	436	
LMSP0501AC00				True	5	CHEBI:18390
LMSP0505DX00				True	451	
LMSP0601AK00				True	67	CHEBI:79214
LMSP0601EW00				True	221	
LMSP0505BX00				True	243	
LMSP0502BL00				True	448	
LMSP0505CB00				True	247	
LMSP0504AD00				True	33	CHEBI:28743
LMSP0601AY00				True	82	CHEBI:78568
LMSP0601FK00				True	256	
LMSP0602AN00				True	16	CHEBI:18318
LMSP0505CF00				True	262	
LMSP0601AS00				True	75	CHEBI:18163
LMSP0504AY00				True	177	
LMSP0601BL00				True	97	
LMSP0602AA00				True	356	CHEBI:37986
LMSP0508AB00				True	SphingoMap ID not found.	
LMSP0504BU00				True	31	
LMSP0601FY00				True	285	
LMSP0504AH00				True	37	
LMSP0503AC00				True	291	
LMSP0601FZ00				True	286	
LMSP0505EM00				True	466	
LMSP0601CP00				True	339	
LMSP0501AB00				True	3	CHEBI:17950
LMSP0506AR00				True	353	
LMSP0506BB00				True	382	
LMSP0602AC00				True	405	
LMSP0601FU00				True	271	
LMSP0505BS00				True	238	
LMSP0601GO00				True	418	
LMSP0601EO00				True	203	
LMSP0602AE00				True	357	
LMSP0601AJ00				True	15	CHEBI:15681
LMSP0505EE00				True	458	
LMSP04000000				True	SphingoMap ID not found.	
LMSP0601DT00				True	161	
LMSP0601EL00				True	200	
LMSP0506AN00				True	429	
LMSP0601DZ00				True	208	
LMSP0602AO00				True	415	
LMSP0505BB00				True	121	
LMSP0601CD00				True	322	
LMSP0601CN00				True	337	
LMSP0505AX00				True	117	
LMSP0505EF00				True	459	
LMSP0601AC00				True	113	
LMSP0506AA00				True	411	
LMSP0601AO00				True	71	CHEBI:61732
LMSP0502AO00				True	131	
LMSP0601GD00				True	413	
LMSP0504AB00				True	8	CHEBI:17292
LMSP0504AQ00				True	163	
LMSP0505CK00				True	281	
LMSP0601CY00				True	348	
LMSP0502BK00				True	447	
LMSP0601CA00				True	308	
LMSP0502AA00				True	7	CHEBI:18313
LMSP0601BH00				True	92	
LMSP0601AG00				True	136	
LMSP0505CD00				True	258	
LMSP0505BC00				True	122	
LMSP0601DR00				True	152	
LMSP0506AH00				True	416	
LMSP0601BY00				True	306	
LMSP0505AV00				True	65	
LMSP0505BP00				True	235	
LMSP0502AJ00				True	27	
LMSP0505BG00				True	199	
LMSP0601FF00				True	250	
LMSP0505CQ00				True	367	
LMSP0502BA00				True	141	
LMSP0504AC00				True	29	CHEBI:90292
LMSP0505CY00				True	409	
LMSP0601FD00				True	248	
LMSP0505BQ00				True	236	
LMSP0601BK00				True	96	
LMSP0505CT00				True	370	
LMSP0601CT00				True	343	
LMSP0601EK00				True	126	
LMSP0505EJ00				True	463	
LMSP0505CI00				True	279	
LMSP0602AK00				True	355	
LMSP0504AX00				True	176	
LMSP0601FB00				True	226	
LMSP08000001				True	1	
LMSP0506BC00				True	383	
LMSP0502BF00				True	442	
LMSP0505BR00				True	237	
LMSP0506AO00				True	430	
LMSP0601BS00				True	300	
LMSP0601GB00				True	288	
LMSP0601CW00				True	346	
LMSP0601BT00				True	301	
LMSP0601GX00			LMSP0505DV00	True	399	
LMSP0502BE00				True	441	
