SMID	SphinGOMAP ID	Automatically found from structure ChEBI ID	Manually mapped ChEBI ID	Name	generated_glyconomenclature	Category	category_assigned	LBID	Common Name	References	Lucila’s comment	generic glycosphingolipid SMILES	match_automatic_and_manual_chebi
124.0	124	144449	144449.0	nLc8Cer	Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcCer	NeoLacto	Neolacto	GSG1351		Fukuda et al. (1982, 1985)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O[C@@H]8O[C@H](CO)[C@H](O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7NC(C)=O)[C@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
125.0					GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcNAcbeta1-3Galbeta1-4GlcCer	NeoLacto	Neolacto					*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7NC(C)=O)[C@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
126.0					NeuAcalpha2-6GalNAcbeta1-4Galbeta1-4GlcCer	Ganglio	Ganglio		GM2alpha			*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO[C@@]4(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(C)=O)[C@@H](O)C4)[C@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
127.0	127	142049	142049.0	Ganglioside GM1alpha	Galbeta1-3(NeuAcalpha2-6)GalNAcbeta1-4Galbeta1-4GlcCer	Ganglio	Ganglio	GSG1058	GM1alpha	Irie et al. (1996)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO[C@@]4(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(C)=O)[C@@H](O)C4)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3NC(C)=O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
128.0					Galbeta1-3(NeuAcalpha2-8NeuAcalpha2-6)GalNAcbeta1-4Galbeta1-4GlcCer	Ganglio	Ganglio		GM1c			*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO[C@@]4(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O[C@@]5(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(C)=O)[C@@H](O)C5)O)[C@H](NC(C)=O)[C@@H](O)C4)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3NC(C)=O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
130.0	130	90856	90856.0	Ganglioside GD1c	NeuAcalpha2-8NeuAcalpha2-3Galbeta1-3GalNAcbeta1-4Galbeta1-4GlcCer	Ganglio	Ganglio	GSG1441	GD1c	Bartoszewicz et al. (1986), Ishida et al. (1997)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@]5(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O[C@@]6(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(C)=O)[C@@H](O)C6)O)[C@H](NC(C)=O)[C@@H](O)C5)[C@H]4O)[C@H]3NC(C)=O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
131.0					Galbeta1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1019	found in Leishmania amayonensis	Straus et al. (1993)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
132.0	132	140833	140833.0	Globoside GalNAcGalGb3Cer	GalNAcbeta1-3Galalpha1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1198		Angstrom et al. (1982), Ariga et al. (1989)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H]4O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
133.0					GalNAcbeta1-3Galalpha1-3Galalpha1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1199		Angstrom et al. (1982) structure suggested in PMID:7054174 (Table 1) not so sure about these		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6NC(C)=O)[C@H]5O)[C@H]4O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
134.0					GalNAcbeta1-3Galalpha1-3Galalpha1-3Galalpha1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1200		Angstrom et al. (1982) structure suggested in PMID:7054174 (Table 1) not so sure about these		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O[C@H]6O[C@H](CO)[C@H](O)[C@H](O[C@@H]7O[C@H](CO)[C@H](O)[C@H](O)[C@H]7NC(C)=O)[C@H]6O)[C@H]5O)[C@H]4O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
135.0	135	141169	141169.0	Globoside NeuGc-GalGb4Cer	NeuGcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1240		Sekine et al. (1988) PMID:2902074, DeGasperi et al. (1987) PMID:3680292 no evidence for any globoside		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O[C@@]6(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(=O)CO)[C@@H](O)C6)[C@H]5O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
136.0	136	141173	141173.0	Globoside NeuGcNeuGc-GalGb4Cer	NeuGcalpha2-8NeuGcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1242		Sekine et al. (1988) PMID:2902074, DeGasperi et al. (1987) PMID:3680292 no evidence for any globoside		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O[C@@]6(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O[C@@]7(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(=O)CO)[C@@H](O)C7)O)[C@H](NC(=O)CO)[C@@H](O)C6)[C@H]5O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
137.0					NeuAcalpha2-3GalNAcbeta1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1293		Schwarting et al. (1983) PMID:6847688 they only use TLC, cannot really prove bond location nor stereo		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@]5(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(C)=O)[C@@H](O)C5)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
138.0	138	141180	141180.0	Globoside GlcNAcGb3Cer	GlcNAcbeta1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1330		Larson (1986) PMID:3010864 evidence in fraction I		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
139.0	139	141188	141188.0	Globoside Branched Forssman	GalNAcalpha1-3GalNAcbeta1-3(Galbeta1-3GalNAcbeta1-4)Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1339	Branched Forssman	"Slomiany & Slomiany (1977) PMID:891524 Dog gastric mucosa
"		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H]4NC(C)=O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
140.0	140	140830	140830.0	Globoside FucGalGb3Cer	Fucalpha1-2Galalpha1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1357		Breimer et al. (1982), Ariga et al. (1989)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
142.0	142	141192	141192.0	Globoside Fuc-Branched Forssman	GalNAcalpha1-3GalNAcbeta1-3(Fucalpha1-2Galbeta1-3GalNAcbeta1-4)Galalpha1-4Galbeta1-4GlcCer		Globo	GSG1362	Fucosylated Branched Forssman	Slomiany & Slomiany (1978) PMID:414913 talks about Fucosylated Branched-Forssman in dog gastric mucosa		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O[C@@H]5O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]5O)[C@H]4NC(C)=O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
143.0					Galalpha1-3Galalpha1-3Galalpha1-3Galalpha1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo					*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O[C@H]6O[C@H](CO)[C@H](O)[C@H](O[C@H]7O[C@H](CO)[C@H](O)[C@H](O)[C@H]7O)[C@H]6O)[C@H]5O)[C@H]4O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
144.0					GalNAcbeta1-3Galalpha1-3Galalpha1-3Galalpha1-3Galalpha1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG4332		Angstrom et al. (1982) structure suggested in PMID:7054174 (Table 1) not so sure about these		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O[C@H]6O[C@H](CO)[C@H](O)[C@H](O[C@H]7O[C@H](CO)[C@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@H](O)[C@H](O)[C@H]8NC(C)=O)[C@H]7O)[C@H]6O)[C@H]5O)[C@H]4O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
145.0					Galalpha1-3Galalpha1-3Galalpha1-3Galalpha1-3Galalpha1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo					*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O[C@H]6O[C@H](CO)[C@H](O)[C@H](O[C@H]7O[C@H](CO)[C@H](O)[C@H](O[C@H]8O[C@H](CO)[C@H](O)[C@H](O)[C@H]8O)[C@H]7O)[C@H]6O)[C@H]5O)[C@H]4O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
146.0					GalNAcbeta1-3Galalpha1-3Galalpha1-3Galalpha1-3Galalpha1-3Galalpha1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1433		Angstrom et al. (1982) structure suggested in PMID:7054174 (Table 1) not so sure about these		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O[C@H]6O[C@H](CO)[C@H](O)[C@H](O[C@H]7O[C@H](CO)[C@H](O)[C@H](O[C@H]8O[C@H](CO)[C@H](O)[C@H](O[C@@H]9O[C@H](CO)[C@H](O)[C@H](O)[C@H]9NC(C)=O)[C@H]8O)[C@H]7O)[C@H]6O)[C@H]5O)[C@H]4O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
147.0					NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)GlcNAcbeta1-3(GlcNAcbeta1-6)Galbeta1-4GlcCer	Lacto	Lacto					*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@]5(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(C)=O)[C@@H](O)C5)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
148.0	148	142559	142559.0	II6Gal-b1-4GlcNAc,III4Fuc,IV3-a-NeuNAc-Lc4Cer	NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)GlcNAcbeta1-3(Galbeta1-4GlcNAcbeta1-6)Galbeta1-4GlcCer	Lacto	Lacto	GSG1002		Kitagawa et al. (1993)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3NC(C)=O)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@]5(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(C)=O)[C@@H](O)C5)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
149.0	149	142562	142562.0	II6Gal(Fuc)GlcNAc,III4Fuc,IV3-a-NeuNAc-Lc4Cer	NeuAcalpha2-3Galbeta1-3(Fucalpha1-4)GlcNAcbeta1-3[Fucalpha1-3(Galbeta1-4)GlcNAcbeta1-6]Galbeta1-4GlcCer	Lacto	Lacto	GSG1004	sLea -Lex	Kitagawa et al. (1993)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H](O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H]3NC(C)=O)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]4O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@]5(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(C)=O)[C@@H](O)C5)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
150.0	150	142584	142584.0	IV4GalNAc-3'-isoLM1	NeuAcalpha2-3(GalNAcbeta1-4)Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto	GSG1244	GalNAc-3'-isoLM1	Fredman et al. (1989), Blaszczyk-Thurin et al. (1987)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H](O[C@@]5(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(C)=O)[C@@H](O)C5)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
151.0	151	142645	142645.0	IV4GalNAc-II4GalNAc-3'-isoLM1	NeuAcalpha2-3(GalNAcbeta1-4)Galbeta1-3GlcNAcbeta1-3(GalNAcbeta1-4)Galbeta1-4GlcCer	Lacto	Lacto	GSG1011	Ganglio X1	Nakao et al. (1993)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H](O[C@@]5(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(C)=O)[C@@H](O)C5)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
152.0	152	142650	142650.0	IV4GalNAc-II4GalGalNAc-3'-isoLM1	NeuAcalpha2-3(GalNAcbeta1-4)Galbeta1-3GlcNAcbeta1-3(Galbeta1-3GalNAcbeta1-4)Galbeta1-4GlcCer	Lacto	Lacto	GSG1012	Ganglio X2	Nakao et al. (1993)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O)[C@H]3NC(C)=O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H](O[C@@]5(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(C)=O)[C@@H](O)C5)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
153.0					GlcNAcbeta1-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto			Hu et al. (1994)- PMID:7949652-cannot find lacto, only neolacto in this paper		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
154.0					Fucalpha1-4GlcNAcbeta1-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto					*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
155.0	155	142992	142992.0	IV3-b-(Gal-b1-3GlcNAc)-Lc4Cer/Lc6Cer	Galbeta1-3GlcNAcbeta1-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto		LcOse6	Stroud et al. (1991)-PMID:2022659-It is a technical degradation product of dimeric Lea, Annotated based on PMID:23349777 AND 26530895		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@H]5NC(C)=O)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
156.0					Galbeta1-3(Fucalpha1-4)GlcNAcbeta1-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto			Stroud et al. (1991)-PMID:2022659-It is a technical degradation product of dimeric Lea		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]6O)[C@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@H]5NC(C)=O)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
157.0					Fucalpha1-2Galbeta1-3GlcNAcbeta1-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto					*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]6O)[C@H]5NC(C)=O)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
158.0					GalNAcalpha1-3Galbeta1-3GlcNAcbeta1-3Galbeta1-3GlcNAcbeta1-3Galbeta1-4GlcCer	Lacto	Lacto					*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O[C@H]7O[C@H](CO)[C@H](O)[C@H](O)[C@H]7NC(C)=O)[C@H]6O)[C@H]5NC(C)=O)[C@H]4O)[C@H]3NC(C)=O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
