SMID	SphinGOMAP ID	Automatically found from structure ChEBI ID	Manually mapped ChEBI ID	Name	generated_glyconomenclature	Category	category_assigned	LBID	Common Name	References	Lucila’s comment	generic glycosphingolipid SMILES	match_automatic_and_manual_chebi
14.0					GlcNAcbeta1-4Manbeta1-4GlcCer	Arthro	Arthro					*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O)[C@@H]2O)[C@H](O)[C@H]1O)NC(=O)*	
15.0	15	79210	79210.0	Ganglioside GM3	NeuAcalpha2-3Galbeta1-4GlcCer	Ganglio	Ganglio	GSG1089	GM3	Kuhn & Wiengandt (1963), Seyfried et al. (1978), Wiegandt (1973), Hirabayashi et al. (1983), Yachida et al. (1996), Murase et al. (1989), Ladisch et al. (1995), Collins et al. (1997)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@]3(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(C)=O)[C@@H](O)C3)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
16.0	16	82953	82953.0	1-(3-O-sulfo-β-D-galactosyl)-ceramide	HSO3-3GalCer			GSG0069	SM4s, SGC	Yamawaka et al. (1962), O'Brien & Rouser (1964)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](OS(=O)(=O)[O-])[C@H]1O)NC(=O)*	True
17.0	17	90085, 195476	90085.0	Ganglioside GA2 	GalNAcbeta1-4Galbeta1-4GlcCer	Ganglio	Ganglio	GSG1332	GgOse3, asialo-GM2, GA2, Tay-Sachs globoside	Makita & Yamakawa (1963), Yamakawa (1966), Seyama & Yamakawa (1974), Svennerholm & Raal (1961), Gatt & Berman (1963), Taketomi & Kawamura (1969), Gregoire et al. (1969)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
18.0	18	88167	88167.0	Globoside Gb4Cer	GalNAcbeta1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1154	GbOse4, Globoside I/Cytolipin K	DeVries & Norton (1974), Vance & Sweeley (1967), Larson (1986), Makita & Yamakawa (1962, 1963), Svennerholm & Svennerholm (1963), Kishimoto et al. (1965), Cuzner & Davison (1968), Rosenberg & Chargaff (1958), Svennerholm (1964), Nishimura & Yamakawa (1968		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
19.0	19	90400	90400.0	Globoside Forssman	GalNAcalpha1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1161	Forssman antigen	Hakomori et al. (1977), Yamakawa (1960), Nishimura & Yamakawa (1968), Taketomi & Kawamura (1972), Kawanami (1972), Makita et al. (1973), Ishibashi et al. (1974), Esselman et al. (1973), Siddiqui & Hakomori (1971), Sung et al. (1973)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
20.0	20	140782	140782.0	Globoside Para-Forssman	GalNAcbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1338	Para-Forssman x3b	Ando (1982), Angstrom et al. (1986)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
21.0	21	140691	140691.0	Globoside GalGb4Cer	Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1197	GbOse5, SSEA-3 antigen	Blomberg et al. (1982), Kannagi et al. (1983), Dasgupta et al. (1995), Sekine et al. (1987), Breimer & Karlsson (1983), Kannagi et al. (1983b, 1983c)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
22.0	22	140702	140702.0	Globoside GlcNAc-GalGb4Cer	Galbeta1-3(GlcNAcbeta1-6)GalNAcbeta1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1429		Sekine et al. (1987, 1990)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5NC(C)=O)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
23.0	23	140705	140705.0	Globoside GalGlcNAc-GalGb4Cer	Galbeta1-3(Galbeta1-4GlcNAcbeta1-6)GalNAcbeta1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1430		Sekine et al. (1987)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5NC(C)=O)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
24.0	24	140623	140623.0	Globoside MSGG	NeuAcalpha2-3Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1239	SSEA-4 antigen	Chien & Hogan (1983), Kannagi et al. (1983), Kannagi (1983), Ishida et al. (1996), Breimer et al. (1982), Kannagi et al. (1983b, 1983c)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O[C@@]6(C(=O)[O-])O[C@@H]([C@@H]([C@@H](CO)O)O)[C@H](NC(C)=O)[C@@H](O)C6)[C@H]5O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
25.0	25	140708	140708.0	Globoside Globo-Lex-9	Galbeta1-3[Fucalpha1-3(Galbeta1-4)GlcNAcbeta1-6]GalNAcbeta1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1272	globo-Lex-9	Sekine et al. (1987)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO[C@@H]5O[C@H](CO)[C@@H](O[C@@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6O)[C@H](O[C@@H]6O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]6O)[C@H]5NC(C)=O)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
26.0	26	140714	140714.0	Globoside Globo-H	Fucalpha1-2Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1360	type IV H	Kannagi et al. (1983c, 1984b), Bremer et al. (1984), Fenderson et al. (1987), Hakomori et al. (1987), Larson (1986)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O)[C@H]5O[C@@H]5O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]5O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
27.0	27	140789	140789.0	Globoside Globo-A	Fucalpha1-2(GalNAcalpha1-3)Galbeta1-3GalNAcbeta1-3Galalpha1-4Galbeta1-4GlcCer	Globo	Globo	GSG1361	type IV A antigen	Clausen et al. (1984), Fenderson et al. (1987), Hakomori et al. (1987), Breimer & Jovall (1985)		*[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O[C@H]3O[C@H](CO)[C@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O[C@@H]5O[C@H](CO)[C@H](O)[C@H](O[C@H]6O[C@H](CO)[C@H](O)[C@H](O)[C@H]6NC(C)=O)[C@H]5O[C@@H]5O[C@@H](C)[C@@H](O)[C@@H](O)[C@@H]5O)[C@H]4NC(C)=O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O)NC(=O)*	True
