Category (Series)	Number of structures	Structures in ChEBI (d18:1 / R1)	r1 (%)	Structures in ChEBI (R1 / R2)	r2 (%)
Neolacto	100	82	82	81	81
Ganglio	84	57	67	57	67
Lacto	44	33	75	33	75
Globo	34	25	73	27	79
Isoglobo	13	9	69	9	69
No defined category	10	8	80	7	70
Arthro	1	0	0	0	0
Mollu	1	0	0	0	0
Total	287	214	74	214	74
